"Index,Document Frequency",Posting List
"('tri', 1)","'doc9', [10, 33], 2"
"('hard', 1)","'doc9', [11, 13], 2"
"('two', 1)","'doc9', [15], 1"
"('week', 1)","'doc9', [16], 1"
"('convinc', 1)","'doc9', [18], 1"
"('myself', 1)","'doc9', [19], 1"
"('picki', 1)","'doc9', [24], 1"
"('ask', 1)","'doc9', [28], 1"
"('justifi', 1)","'doc9', [35], 1"
"('flaw', 1)","'doc9', [37], 1"
"('vein', 1)","'doc9', [40], 1"
"('hate', 1)","'doc9', [45], 1"
"('disast', 1)","'doc9', [49], 1"
"('point', 1)","'doc9', [54], 1"
"('throw', 1)","'doc9', [58], 1"
"('garbag', 1)","'doc9', [62], 1"
"('return', 1)","'doc9', [66], 1"
"('thought', 1)","'doc9', [69], 1"
"('give', 1)","'doc9', [71], 1"
"('present', 1)","'doc9', [75], 1"
"('child', 1)","'doc9', [78, 85], 2"
"('soon', 1)","'doc9', [80], 1"
"('realiz', 1)","'doc9', [82], 1"
"('no', 1)","'doc9', [84], 1"
"('deserv', 1)","'doc9', [86], 1"
"('frustrat', 1)","'doc9', [90], 1"
"('sluggi', 1)","'doc9', [93], 1"
"('ugli', 1)","'doc9', [96], 1"
"('everyth', 1)","'doc10', [7], 1"
"('could', 1)","'doc10', [9], 1"
"('mainli', 1)","'doc10', [17], 1"
"('nice', 1)","'doc10', [24], 1"
"('internet', 1)","'doc10', [27], 1"
"('same', 1)","'doc10', [32], 1"
